run_id,dropout,fc_hidden,batch_size,epochs,test_acc,test_loss,seconds
1,0.3,32,32,3,0.861200,0.397810,28.513
2,0.3,32,32,5,0.877900,0.353916,43.860
3,0.3,32,64,3,0.851700,0.442803,24.591
4,0.3,32,64,5,0.871900,0.371917,39.605
5,0.3,32,128,3,0.823300,0.522003,22.722
6,0.3,32,128,5,0.836600,0.470299,38.607
7,0.3,50,32,3,0.867000,0.380764,26.546
8,0.3,50,32,5,0.879900,0.344378,43.778
9,0.3,50,64,3,0.841700,0.452321,24.136
10,0.3,50,64,5,0.858300,0.397907,40.110
11,0.3,50,128,3,0.823000,0.527169,22.932
12,0.3,50,128,5,0.850100,0.445004,38.131
13,0.3,80,32,3,0.862100,0.383144,26.248
14,0.3,80,32,5,0.882300,0.337954,43.629
15,0.3,80,64,3,0.835400,0.462189,24.022
16,0.3,80,64,5,0.866500,0.393124,39.779
17,0.3,80,128,3,0.820500,0.532095,23.063
18,0.3,80,128,5,0.853300,0.435835,38.155
19,0.5,32,32,3,0.851500,0.431431,26.536
20,0.5,32,32,5,0.883500,0.367436,42.938
21,0.5,32,64,3,0.846500,0.508057,23.681
22,0.5,32,64,5,0.871000,0.413869,39.633
23,0.5,32,128,3,0.817500,0.584720,22.709
24,0.5,32,128,5,0.844100,0.503387,38.079
25,0.5,50,32,3,0.865500,0.394746,26.249
26,0.5,50,32,5,0.875100,0.376075,43.102
27,0.5,50,64,3,0.848500,0.483328,23.686
28,0.5,50,64,5,0.862500,0.423500,39.728
29,0.5,50,128,3,0.823400,0.563858,23.067
30,0.5,50,128,5,0.844700,0.494008,38.427
31,0.5,80,32,3,0.860000,0.421796,25.924
32,0.5,80,32,5,0.879600,0.371974,43.634
33,0.5,80,64,3,0.849900,0.480418,23.989
34,0.5,80,64,5,0.867900,0.418102,39.792
35,0.5,80,128,3,0.818900,0.555290,23.067
36,0.5,80,128,5,0.852000,0.486224,38.826
37,0.7,32,32,3,0.868900,0.484242,26.296
38,0.7,32,32,5,0.871300,0.444437,43.592
39,0.7,32,64,3,0.847600,0.542375,23.820
40,0.7,32,64,5,0.856200,0.508177,39.779
41,0.7,32,128,3,0.814700,0.658293,22.931
42,0.7,32,128,5,0.832900,0.577266,38.958
43,0.7,50,32,3,0.862600,0.473576,26.281
44,0.7,50,32,5,0.871500,0.423720,44.225
45,0.7,50,64,3,0.843800,0.541752,24.130
46,0.7,50,64,5,0.864300,0.496167,40.201
47,0.7,50,128,3,0.822400,0.629058,23.165
48,0.7,50,128,5,0.844400,0.561241,38.501
49,0.7,80,32,3,0.865200,0.436959,26.591
50,0.7,80,32,5,0.875700,0.445836,44.202
51,0.7,80,64,3,0.843200,0.526060,24.230
52,0.7,80,64,5,0.859700,0.505356,40.369
53,0.7,80,128,3,0.823100,0.628944,23.160
54,0.7,80,128,5,0.844300,0.577382,38.598
